"Start date collected","End date collected","Region","Country","Lat","Long","HPAI strain","WOAH Classification","New outbreaks","Cumulative outbreaks"
2021-09-16,2021-12-08,"Africa","Nigeria",9.082,8.6753,"A(H5Nx)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","Nigeria",9.082,8.6753,"A(H5N1)","Domestic birds",28,28
2021-09-16,2021-12-08,"Africa","Nigeria",9.082,8.6753,"A(H5N5)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","Nigeria",9.082,8.6753,"A(H5N8)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","Nigeria",9.082,8.6753,"A(H5Nx)","Wild birds",0,0
2021-09-16,2021-12-08,"Africa","Nigeria",9.082,8.6753,"A(H5N1)","Wild birds",0,0
2021-09-16,2021-12-08,"Africa","Nigeria",9.082,8.6753,"A(H5N8)","Wild birds",0,0
2021-09-16,2021-12-08,"Africa","South Africa",30.5595,22.9375,"A(H5Nx)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","South Africa",30.5595,22.9375,"A(H5N1)","Domestic birds",18,18
2021-09-16,2021-12-08,"Africa","South Africa",30.5595,22.9375,"A(H5N5)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","South Africa",30.5595,22.9375,"A(H5N8)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","South Africa",30.5595,22.9375,"A(H5Nx)","Wild birds",0,0
2021-09-16,2021-12-08,"Africa","South Africa",30.5595,22.9375,"A(H5N1)","Wild birds",7,7
2021-09-16,2021-12-08,"Africa","South Africa",30.5595,22.9375,"A(H5N8)","Wild birds",0,0
2021-09-16,2021-12-08,"Africa","Togo",8.6195,0.8248,"A(H5Nx)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","Togo",8.6195,0.8248,"A(H5N1)","Domestic birds",1,1
2021-09-16,2021-12-08,"Africa","Togo",8.6195,0.8248,"A(H5N5)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","Togo",8.6195,0.8248,"A(H5N8)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","Togo",8.6195,0.8248,"A(H5Nx)","Wild birds",0,0
2021-09-16,2021-12-08,"Africa","Togo",8.6195,0.8248,"A(H5N1)","Wild birds",0,0
2021-09-16,2021-12-08,"Africa","Togo",8.6195,0.8248,"A(H5N8)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","Burkina Faso",12.2383,1.5616,"A(H5N1)","Domestic birds",1,1
2021-12-09,2022-03-15,"Africa","Burkina Faso",12.2383,1.5616,"A(H5N2)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","Burkina Faso",12.2383,1.5616,"A(H5N5)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","Burkina Faso",12.2383,1.5616,"A(H5N8)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","Burkina Faso",12.2383,1.5616,"A(H5N1)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","Burkina Faso",12.2383,1.5616,"A(H5N8)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","Burkina Faso",12.2383,1.5616,"A(H5Nx)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","Cameroon",7.3697,12.3547,"A(H5N1)","Domestic birds",1,1
2021-12-09,2022-03-15,"Africa","Cameroon",7.3697,12.3547,"A(H5N2)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","Cameroon",7.3697,12.3547,"A(H5N5)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","Cameroon",7.3697,12.3547,"A(H5N8)","Domestic birds",0,0
