"n","ADIS Reference","Region","Code region","Province","Code province","Abbreviation province","Latitude","Longitude","Species","HPAI strain","Confirmation date","Extinction date","Measures Protection Zone in force until","Measures Surveillance Zone in force until"
1,"IT-HPAI(P)-2021-00001","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-10-19,2021-10-22,2022-01-20,2022-01-29
2,"IT-HPAI(P)-2021-00002","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-10-23,2021-10-25,2022-01-20,2022-01-29
3,"IT-HPAI(P)-2021-00003","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-10-27,2021-10-28,2022-01-20,2022-01-29
4,"IT-HPAI(P)-2021-00004","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-10-27,2021-10-30,2022-01-20,2022-01-29
5,"IT-HPAI(P)-2021-00005","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-10-30,2021-11-05,2022-01-20,2022-01-29
6,"IT-HPAI(P)-2021-00006","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-10-30,2021-11-04,2022-01-25,2022-02-03
7,"IT-HPAI(P)-2021-00007","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-03,2021-11-09,2022-01-21,2022-01-30
8,"IT-HPAI(P)-2021-00008","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-03,2021-11-07,2022-01-20,2022-01-29
9,"IT-HPAI(P)-2021-00009","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-04,2021-11-10,2022-01-20,2022-01-29
10,"IT-HPAI(P)-2021-00010","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-04,2021-11-07,2022-01-20,2022-01-29
11,"IT-HPAI(P)-2021-00011","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-11-05,2021-11-19,2022-02-11,2022-02-20
12,"IT-HPAI(P)-2021-00012","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-06,2021-11-27,2022-01-30,2022-02-08
13,"IT-HPAI(P)-2021-00013","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-06,2021-11-19,2022-01-25,2022-02-03
14,"IT-HPAI(P)-2021-00014","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-06,2021-11-11,2022-01-20,2022-01-29
15,"IT-HPAI(P)-2021-00015","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-06,2021-11-25,2022-01-21,2022-01-30
16,"IT-HPAI(P)-2021-00018","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-06,2021-11-19,2022-01-21,2022-01-30
17,"IT-HPAI(P)-2021-00019","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-06,2021-11-23,2022-01-21,2022-01-30
18,"IT-HPAI(P)-2021-00020","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-06,2021-11-18,2022-01-25,2022-02-03
19,"IT-HPAI(P)-2021-00021","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-08,2021-11-19,2022-01-20,2022-01-29
20,"IT-HPAI(P)-2021-00022","LAZIO",12,"ROMA",58,"RM",41.89277044,12.48366722,"Multispecies/rural","H5N1",2021-11-06,2021-11-13,2021-12-04,2021-12-13
21,"IT-HPAI(P)-2021-00023","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-09,2021-11-24,2022-02-11,2022-02-20
22,"IT-HPAI(P)-2021-00024","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Multispecies/rural","H5N1",2021-11-09,2021-11-19,2022-01-20,2022-01-29
23,"IT-HPAI(P)-2021-00025","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-09,2021-11-13,2022-01-20,2022-01-29
24,"IT-HPAI(P)-2021-00026","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Multispecies/rural","H5N1",2021-11-10,2021-11-10,2022-01-27,2022-02-05
25,"IT-HPAI(P)-2021-00027","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-10,2021-11-24,2022-01-21,2022-01-30
26,"IT-HPAI(P)-2021-00029","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Quail","H5N1",2021-11-11,2021-11-23,2022-01-21,2022-01-30
27,"IT-HPAI(P)-2021-00030","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-11,2021-11-19,2022-01-21,2022-01-30
28,"IT-HPAI(P)-2021-00032","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-11,2021-11-19,2022-01-21,2022-01-30
29,"IT-HPAI(P)-2021-00033","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-12,2021-11-20,2022-01-25,2022-02-03
30,"IT-HPAI(P)-2021-00035","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-12,2021-11-19,2022-01-21,2022-01-30
31,"IT-HPAI(P)-2021-00037","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-12,2022-01-04,2022-01-25,2022-02-03
32,"IT-HPAI(P)-2021-00038","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-11-12,2021-12-17,2022-01-21,2022-01-30
33,"IT-HPAI(P)-2021-00039","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-12,2021-12-11,2022-01-20,2022-01-29
34,"IT-HPAI(P)-2021-00040","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Quail","H5N1",2021-11-14,2021-11-26,2022-01-30,2022-02-08
35,"IT-HPAI(P)-2021-00041","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-14,2021-11-19,2022-01-21,2022-01-30
36,"IT-HPAI(P)-2021-00042","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-14,2021-12-03,2022-01-21,2022-01-30
37,"IT-HPAI(P)-2021-00043","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-14,2021-12-15,2022-01-25,2022-02-03
38,"IT-HPAI(P)-2021-00044","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-12,2021-11-29,2022-01-25,2022-02-03
39,"IT-HPAI(P)-2021-00045","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-12,2021-12-03,2022-01-20,2022-01-29
