"n","ID ADIS","Region","Code region","Province","Code province","Abbreviation province","Latitude","Longitude","No. animals","Species","HPAI strain","Confirmation date"
1,"IT-HPAI(NON-P)-2021-00001","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Mallard duck (Anas platyrhynchos)","H5N1",2021-10-30
2,"IT-HPAI(NON-P)-2021-00002","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Eurasian wigeon (Mareca penelope)","H5N1",2021-10-30
3,"IT-HPAI(NON-P)-2021-00003","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Yellow-legged gull (Larus michahellis)","H5N1",2021-11-16
4,"IT-HPAI(NON-P)-2021-00004","FRIULI-VENEZIA GIULIA",6,"UDINE",30,"UD",46.06255516,13.2348383,1,"Eurasian magpie (Pica pica)","H5N1",2021-11-17
5,"IT-HPAI(NON-P)-2021-00005","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,2,"Greylag goose (Anser anser)","H5N1",2021-11-26
6,"IT-HPAI(NON-P)-2021-00006","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Common kestrel (Falco tinnunculus)","H5N1",2021-11-30
7,"IT-HPAI(NON-P)-2021-00007","LAZIO",12,"ROMA",58,"RM",41.89277044,12.48366722,2,"Greylag goose (Anser anser), Mute swan (Cygnus olor)","H5N1",2021-11-28
8,"IT-HPAI(NON-P)-2021-00008","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Yellow-legged gull (Larus michahellis)","H5N1",2021-12-03
9,"IT-HPAI(NON-P)-2021-00009","LOMBARDIA",3,"BERGAMO",16,"BG",45.69441368,9.668424528,3,"Long-eared owl (Asio otus)","H5N1",2021-11-04
10,"IT-HPAI(NON-P)-2021-00011","PUGLIA",16,"FOGGIA",71,"FG",41.46226865,15.54305094,1,"Grey heron (Ardea cinerea)","H5N1",2021-11-04
11,"IT-HPAI(NON-P)-2021-00012","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,2,"Black-headed gull (Chroicocephalus ridibundus), Yellow-legged gull (Larus michahellis)","H5N1",2021-12-16
12,"IT-HPAI(NON-P)-2021-00013","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,1,"Yellow-legged gull (Larus michahellis)","H5N1",2021-12-18
13,"IT-HPAI(NON-P)-2021-00014","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Little owl (Athene noctua)","H5N1",2021-12-21
14,"IT-HPAI(NON-P)-2021-00015","EMILIA-ROMAGNA",8,"PARMA",34,"PR",44.80107394,10.32834985,4,"Eurasian magpie (Pica pica)","H5N1",2021-12-27
15,"IT-HPAI(NON-P)-2021-00016","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,2,"Common teal (Anas crecca)","H5N1",2021-12-30
16,"IT-HPAI(NON-P)-2022-00001","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Laridae","H5N1",2021-12-29
17,"IT-HPAI(NON-P)-2022-00002**","CAMPANIA",15,"SALERNO",65,"SA",40.67821961,14.7594025999999,4,"Eurasian eagle-owl (Bubo bubo), Harris’s hawk (Parabuteo unicinctus), Falcon (Falconidae), Saker falcon (Falco cherrug)","H5N1",2021-12-31
18,"IT-HPAI(NON-P)-2022-00003","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,2,"Common buzzard (Buteo buteo)","H5N1",2022-01-20
19,"IT-HPAI(NON-P)-2022-00004","PIEMONTE",1,"TORINO",1,"TO",45.0732745,7.680687483,1,"Mute swan (Cygnus olor)","H5N1",2022-02-16
20,"IT-HPAI(NON-P)-2022-00005","PIEMONTE",1,"VERCELLI",2,"VC",45.32398135,8.423234312,1,"Great egret (Ardea alba)","H5N1",2022-02-16
21,"IT-HPAI(NON-P)-2022-00007","CAMPANIA",15,"NAPOLI",63,"NA",40.83956555,14.25084984,1,"Long-eared owl (Asio otus)","H5N1",2022-02-23
22,"IT-HPAI(NON-P)-2022-00008","CAMPANIA",15,"NAPOLI",63,"NA",40.83956555,14.25084984,1,"Yellow-legged gull (Larus michahellis)","H5N1",2022-02-23
23,"IT-HPAI(NON-P)-2022-00009","CAMPANIA",15,"SALERNO",65,"SA",40.67821961,14.7594025999999,1,"Common kestrel (Falco tinnunculus)","H5N1",2022-02-23
