"n","ID ADIS","Region","Region code","Province","Code province","Abbreviation province","Latitude","Longitude","No. animals","Species","HPAI strain","Confirmation date"
1,"IT-HPAI(NON-P)-2021-00010","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,3,"Common teal (Anas crecca) Mallard duck (Anas platyrhynchos)","H5N1",2022-09-29
2,"IT-HPAI(NON-P)-2022-00011","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,11,"Mallard duck (Anas platyrhynchos)","H5N1",2022-10-13
3,"IT-HPAI(NON-P)-2022-00012","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,1,"Greylag goose (Anser anser)","H5N1",2022-10-13
4,"IT-HPAI(NON-P)-2022-00013","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,3,"Eurasian wigeon (Mareca penelope)","H5N1",2022-10-11
5,"IT-HPAI(NON-P)-2022-00014","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Mallard duck (Anas platyrhynchos)","H5N1",2022-10-11
6,"IT-HPAI(NON-P)-2022-00015","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,1,"Common teal (Anas crecca)","H5N1",2022-10-14
7,"IT-HPAI(NON-P)-2022-00016","EMILIA ROMAGNA",8,"REGGIO NELL’EMILIA",35,"RE",44.69735289,10.63007973,1,"Mallard duck (Anas platyrhynchos)","H5N1",2022-10-17
8,"IT-HPAI(NON-P)-2022-00017","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,18,"Common teal (Anas crecca) Mallard duck (Anas platyrhynchos)","H5N1",2022-10-17
9,"IT-HPAI(NON-P)-2022-00018","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,2,"Common teal (Anas crecca)","H5N1",2022-10-20
10,"IT-HPAI(NON-P)-2022-00019","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Greylag goose (Anser anser)","H5N1",2022-10-20
11,"IT-HPAI(NON-P)-2022-00020","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,2,"Mute swan (Cygnus olor)","H5N1",2022-10-25
12,"IT-HPAI(NON-P)-2022-00021","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,1,"Mallard duck (Anas platyrhynchos)","H5N1",2022-11-07
13,"IT-HPAI(NON-P)-2022-00022","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Common teal (Anas crecca)","H5N1",2022-11-07
14,"IT-HPAI(NON-P)-2022-00023","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,8,"Common teal (Anas crecca)","H5N1",2022-11-04
15,"IT-HPAI(NON-P)-2022-00024","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"White stork (Ciconia ciconia)","H5N1",2022-11-07
