"Confirmed date","Country","State","County","HPAI strain","Species","WOAH Classification"
2022-01-12,"USA","North Carolina","Hyde","EA H5N1","Northern shoveler","Wild bird"
2022-01-12,"USA","North Carolina","Hyde","EA H5","Gadwall","Wild bird"
2022-01-13,"USA","South Carolina","Colleton","EA H5N1","American wigeon","Wild bird"
2022-01-13,"USA","South Carolina","Colleton","EA H5N1","Blue-winged teal","Wild bird"
2022-01-16,"USA","North Carolina","Hyde","EA H5","Northern shoveler","Wild bird"
2022-01-16,"USA","North Carolina","Hyde","EA H5","Gadwall","Wild bird"
2022-01-20,"USA","North Carolina","Hyde","EA H5N1","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Hyde","EA H5","Gadwall","Wild bird"
2022-01-20,"USA","North Carolina","Hyde","EA H5","Gadwall","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5","Mallard","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","Gadwall","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","Northern pintail","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5","Northern pintail","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5","Northern pintail","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","Gadwall","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","Mallard","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","Northern shoveler","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","Gadwall","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5N1","American wigeon","Wild bird"
2022-01-20,"USA","North Carolina","Pamlico","EA H5","American wigeon","Wild bird"
